"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-125b-5p",426.325406882627,3.14857649136592,0.847489862019003,3.71517894487252,0.000203059941405101,0.0408868228146678
"hsa-miR-152-3p",290.868880314626,3.31935669903785,0.897377972848883,3.69895049741412,0.000216492816161886,0.0408868228146678
"hsa-miR-193b-5p",206.21404195746,4.38394523240942,1.20436205042132,3.64005593739506,0.000272578818764452,0.0408868228146678
"hsa-miR-5588-5p",93.250072963961,5.48125342363506,1.45566318272137,3.76546819944146,0.000166237281434292,0.0408868228146678
