"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-miR-100-5p",1474.78255286305,3.24446002456148,0.801822811163186,6.13024423108441e-06,0.00119233250294592
"hsa-miR-125b-5p",426.325406882627,2.94220360119785,0.785433918838692,2.06880132954096e-05,0.00268254572397144
"hsa-miR-146a-5p",5344.62710508362,-1.2293550256707,0.541958781000667,0.000494856726094657,0.0274998952072602
"hsa-miR-146b-3p",300.361361356065,-0.653546863057468,0.601255816809529,0.000113045323806925,0.00767067453097868
"hsa-miR-152-3p",290.868880314626,2.73697056703938,0.837308278124483,0.000118313745979106,0.00767067453097868
"hsa-miR-193b-5p",206.21404195746,5.1909340621061,1.10205203891275,3.51936793256448e-07,0.000136903412576758
"hsa-miR-335-5p",919.956679190251,1.62382313985076,0.569683501675442,0.000714455984804039,0.0308803753431968
"hsa-miR-3677-3p",16.0515931381528,-0.437063356823021,0.906621816563702,0.000598045804792183,0.0290799772580199
"hsa-miR-5588-5p",93.250072963961,4.72884514835167,1.34394447538222,5.00481185775016e-05,0.00486717953166203
