"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-miR-100-5p",1474.78255286305,3.14690836401566,1.1371650185303,0.000157025883330143,0.0258866831027536
"hsa-miR-125b-5p",426.325406882627,2.7807412751311,1.13448954816295,0.000417273148546688,0.0357662698754304
"hsa-miR-146a-5p",5344.62710508362,2.00231118962442,0.690242886688394,0.00021788515532102,0.0258866831027536
"hsa-miR-146b-3p",300.361361356065,2.63099043643046,0.882151387512974,0.000108715676734729,0.0258866831027536
"hsa-miR-193b-5p",206.21404195746,5.56720894911922,1.57023123420007,6.292824820347e-06,0.0037756948922082
"hsa-miR-335-5p",919.956679190251,2.16614102311656,0.774387559514826,0.000258866831027536,0.0258866831027536
"hsa-miR-5588-5p",93.250072963961,5.11290678824366,2.16189032188659,0.000187438243548517,0.0258866831027536
