"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-miR-100-5p",1474.78255286305,0.321321164247102,0.55225065567461,0.00046915658477368,0.0229886726539103
"hsa-miR-1468-5p",367.503493465927,0.41407502433689,0.668537262384796,0.000176997559713204,0.0202367209938763
"hsa-miR-193b-5p",206.21404195746,2.89720542312668,1.90476282205646,5.1503090724236e-05,0.0127366471414514
"hsa-miR-194-5p",990.592164261553,1.62677527037528,1.20946399600189,7.42661640900957e-05,0.0127366471414514
"hsa-miR-27a-3p-27b-3p",223176.118921204,1.79796689697787,1.49183567749247,0.000377240640057668,0.0215655899232967
"hsa-miR-3160-3p",109.477270169069,-3.10621724345029,1.29117612830375,0.000267766680701355,0.0215655899232967
"hsa-miR-99a-5p",678.056589349523,0.425033272859965,0.693317790488054,0.000369809309373877,0.0215655899232967
