"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-100-5p",1474.78255286305,2.80112731124257,0.800831166817181,3.49777509581121,0.00046915658477368,0.0229886726539103
"hsa-miR-1468-5p",367.503493465927,2.95270746434226,0.787437169098425,3.74976897232697,0.000176997559713204,0.0202367209938763
"hsa-miR-193b-5p",206.21404195746,4.49281193653786,1.10969270120234,4.04869918642337,5.1503090724236e-05,0.0127366471414514
"hsa-miR-194-5p",990.592164261553,2.62221173201385,0.661809088944814,3.96218754897232,7.42661640900957e-05,0.0127366471414514
"hsa-miR-27a-3p-27b-3p",223176.118921204,2.57627822913764,0.724586689994444,3.5555141499458,0.000377240640057668,0.0215655899232967
"hsa-miR-3160-3p",109.477270169069,-3.83007346147639,1.0508784952265,-3.64463967896771,0.000267766680701355,0.0215655899232967
"hsa-miR-99a-5p",678.056589349523,3.03175680344016,0.851439786567597,3.56074128936593,0.000369809309373877,0.0215655899232967
