"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"hsa-miR-100-5p",1474.78255286305,3.73756593379999,0.988856044824608,3.77968659175555,0.000157025883330143,0.0258866831027536
"hsa-miR-125b-5p",426.325406882627,3.40862651339539,0.965914509044881,3.5289111836263,0.000417273148546688,0.0357662698754304
"hsa-miR-146a-5p",5344.62710508362,2.34228366725784,0.633508014762354,3.69732286360496,0.00021788515532102,0.0258866831027536
"hsa-miR-146b-3p",300.361361356065,3.0709132392649,0.793462640525653,3.87026821732965,0.000108715676734729,0.0258866831027536
"hsa-miR-193b-5p",206.21404195746,6.26936146339601,1.38816190978998,4.51630419995065,6.292824820347e-06,0.0037756948922082
"hsa-miR-335-5p",919.956679190251,2.56024567134569,0.700798884006033,3.65332441271931,0.000258866831027536,0.0258866831027536
"hsa-miR-5588-5p",93.250072963961,6.27515135387017,1.67992695952843,3.7353715399815,0.000187438243548517,0.0258866831027536
